token,ltp,ltt
71975,86.9,1755834363
72040,24.05,1755834363
72036,43.4,1755834363
71992,57.35,1755834363
72038,32.35,1755834363
71973,68.65,1755834363
71990,74.85,1755834363
71971,54.15,1755834363
71969,42.25,1755834363
71969,42.15,1755834363
72036,43.2,1755834363
71971,54,1755834363
71989,132.9,1755834363
71988,95.7,1755834363
71990,74.6,1755834363
71987,108.05,1755834363
71988,95.65,1755834363
71989,133.35,1755834363
71975,86.15,1755834364
72040,23.8,1755834364
72038,32.1,1755834364
71973,68.1,1755834364
71992,57.25,1755834364
71969,41.8,1755834364
71975,85.6,1755834364
72040,23.95,1755834364
